POE::Queue::Array::BEGIN@24	href=POE-Queue-Array-pm-56-sub.html#24
POE::Kernel::_data_ses_count	href=POE-Resource-Sessions-pm-82-sub.html#513
Carp::BEGIN@3	href=Carp-pm-21-sub.html#3
POE::Kernel::_data_handle_remove	href=POE-Resource-FileHandles-pm-72-sub.html#466
POE::Component::SSLify::ServerHandle::CORE:binmode	href=POE-Component-SSLify-ServerHandle-pm-114-sub.html#POE__Component__SSLify__ServerHandle__CORE_binmode
POE::Kernel::_data_handle_resume	href=POE-Resource-FileHandles-pm-72-sub.html#620
POE::Filter::BEGIN@8	href=POE-Filter-pm-92-sub.html#8
POE::Kernel::BEGIN@23	href=POE-Loop-Select-pm-59-sub.html#23
POE::Kernel::BEGIN@12	href=POE-Kernel-pm-54-sub.html#12
Net::SSLeay::constant	href=Net-SSLeay-pm-108-sub.html#Net__SSLeay__constant
POE::Kernel::_data_sid_finalize	href=POE-Resource-SIDs-pm-79-sub.html#37
POE::Wheel::SocketFactory::_define_accept_state	href=POE-Wheel-SocketFactory-pm-101-sub.html#148
POE::Component::Client::TCP::CORE:sort	href=POE-Component-Client-TCP-pm-88-sub.html#POE__Component__Client__TCP__CORE_sort
main::BEGIN@7	href=t-simple_parallel_superbig-t-1-sub.html#7
Test::Builder::_check_is_passing_plan	href=Test-Builder-pm-7-sub.html#903
POSIX::BEGIN@11	href=POSIX-pm-27-sub.html#11
POE::Wheel::ReadWrite::_define_read_state	href=POE-Wheel-ReadWrite-pm-94-sub.html#245
Net::SSLeay::FILETYPE_PEM	href=(eval 52)[Net-SSLeay-pm-390]-121-line.html#1
Config::FETCH	href=Config-pm-8-sub.html#66
DynaLoader::dl_load_file	href=DynaLoader-pm-51-sub.html#DynaLoader__dl_load_file
POE::Kernel::_explain_resolve_failure	href=POE-Kernel-pm-54-sub.html#655
POE::Kernel::_data_ev_initialize	href=POE-Resource-Events-pm-66-sub.html#28
POE::Kernel::_data_handle_is_good	href=POE-Resource-FileHandles-pm-72-sub.html#250
POE::Kernel::BEGIN@341	href=POE-Kernel-pm-54-sub.html#341
IO::Socket::UNIX::BEGIN@11	href=IO-Socket-UNIX-pm-47-sub.html#11
POE::Kernel::session_alloc	href=POE-Kernel-pm-54-sub.html#1444
IO::Handle::BEGIN@4	href=IO-Handle-pm-38-sub.html#4
AutoLoader::AUTOLOAD	href=AutoLoader-pm-109-sub.html#21
Exporter::Heavy::BEGIN@3	href=Exporter-Heavy-pm-16-sub.html#3
Exporter::Heavy::CORE:match	href=Exporter-Heavy-pm-16-sub.html#Exporter__Heavy__CORE_match
IO::Socket::BEGIN@12	href=IO-Socket-pm-37-sub.html#12
POSIX::BEGIN@2	href=POSIX-pm-27-sub.html#2
Test::Builder::CORE:match	href=Test-Builder-pm-7-sub.html#Test__Builder__CORE_match
main::BEGIN@41	href=t-simple_parallel_superbig-t-1-sub.html#41
Test::Builder::diag	href=Test-Builder-pm-7-sub.html#1708
IO::BEGIN@8	href=IO-pm-40-sub.html#8
main::__ANON__[t/simple_parallel_superbig.t:81]	href=t-simple_parallel_superbig-t-1-sub.html#69
POE::Resource::Clock::BEGIN@12	href=POE-Resource-Clock-pm-26-sub.html#12
POE::Kernel::_data_ses_stop	href=POE-Resource-Sessions-pm-82-sub.html#526
POE::Component::Server::TCP::__ANON__[/usr/local/share/perl/5.18.2/POE/Component/Server/TCP.pm:389]	href=POE-Component-Server-TCP-pm-105-sub.html#375
POE::Resource::Clock::_do_X	href=POE-Resource-Clock-pm-26-sub.html#36
Socket::sockaddr_in	href=Socket-pm-43-sub.html#822
POE::Kernel::loop_run	href=POE-Loop-Select-pm-59-sub.html#312
constant::CORE:regcomp	href=constant-pm-20-sub.html#constant__CORE_regcomp
Net::SSLeay::OP_ALL	href=(eval 51)[Net-SSLeay-pm-390]-120-line.html#1
POE::Kernel::BEGIN@12.9	href=POE-Resource-Aliases-pm-63-sub.html#12
parent::BEGIN@3	href=parent-pm-113-sub.html#3
POE::Kernel::select_pause_write	href=POE-Kernel-pm-54-sub.html#2281
Test::Builder::exported_to	href=Test-Builder-pm-7-sub.html#779
POE::Wheel::SocketFactory::BEGIN@8	href=POE-Wheel-SocketFactory-pm-101-sub.html#8
POE::Kernel::BEGIN@11	href=POE-Kernel-pm-54-sub.html#11
POE::Driver::SysRW::BEGIN@13	href=POE-Driver-SysRW-pm-89-sub.html#13
POE::Wheel::BEGIN@8	href=POE-Wheel-pm-98-sub.html#8
Test::Builder::BEGIN@19	href=Test-Builder-pm-7-sub.html#19
Test::Builder::reset_outputs	href=Test-Builder-pm-7-sub.html#1995
POE::Wheel::SocketFactory::CORE:binmode	href=POE-Wheel-SocketFactory-pm-101-sub.html#POE__Wheel__SocketFactory__CORE_binmode
IO::BEGIN@5	href=IO-pm-40-sub.html#5
Test::More::BEGIN@5	href=Test-More-pm-5-sub.html#5
AutoLoader::CORE:subst	href=AutoLoader-pm-109-sub.html#AutoLoader__CORE_subst
vars::BEGIN@8	href=vars-pm-9-sub.html#8
Carp::BEGIN@171	href=Carp-pm-21-sub.html#171
DynaLoader::dl_install_xsub	href=DynaLoader-pm-51-sub.html#DynaLoader__dl_install_xsub
SelectSaver::BEGIN@7	href=SelectSaver-pm-39-sub.html#7
POE::Pipe::BEGIN@8	href=POE-Pipe-pm-34-sub.html#8
Net::SSLeay::BEGIN@1	href=(eval 48)[Net-SSLeay-pm-445]-111-line.html#1
POE::Kernel::loop_finalize	href=POE-Loop-Select-pm-59-sub.html#55
POE::Kernel::_data_ses_get_parent	href=POE-Resource-Sessions-pm-82-sub.html#313
POE::Wheel::SocketFactory::CORE:gsockopt	href=POE-Wheel-SocketFactory-pm-101-sub.html#POE__Wheel__SocketFactory__CORE_gsockopt
POE::CORE:match	href=POE-pm-25-sub.html#POE__CORE_match
POE::Wheel::SocketFactory::BEGIN@702	href=POE-Wheel-SocketFactory-pm-101-sub.html#702
POE::Kernel::_data_ev_clear_session	href=POE-Resource-Events-pm-66-sub.html#189
POE::Wheel::ReadWrite::get_driver_out_octets	href=POE-Wheel-ReadWrite-pm-94-sub.html#591
POE::Wheel::ReadWrite::put	href=POE-Wheel-ReadWrite-pm-94-sub.html#419
POE::Pipe::OneWay::BEGIN@8	href=POE-Pipe-OneWay-pm-30-sub.html#8
POE::Kernel::BEGIN@48	href=POE-Kernel-pm-54-sub.html#48
Net::SSLeay::print_errs	href=Net-SSLeay-pm-108-sub.html#410
Socket::BEGIN@4	href=Socket-pm-43-sub.html#4
Test::Builder::_unoverload_str	href=Test-Builder-pm-7-sub.html#936
Net::SSLeay::BEGIN@20	href=Net-SSLeay-pm-108-sub.html#20
POE::Kernel::_define_assert	href=POE-Kernel-pm-54-sub.html#340
POE::Kernel::BEGIN@575	href=POE-Kernel-pm-54-sub.html#575
POSIX::uname	href=POSIX-pm-27-sub.html#POSIX__uname
Test::Builder::BEGIN@4	href=Test-Builder-pm-7-sub.html#4
POE::Kernel::BEGIN@338	href=POE-Kernel-pm-54-sub.html#338
POE::Component::Server::TCP::BEGIN@30	href=POE-Component-Server-TCP-pm-105-sub.html#30
POE::Queue::Array::BEGIN@12	href=POE-Queue-Array-pm-56-sub.html#12
POE::Kernel::_data_ses_gc_sweep	href=POE-Resource-Sessions-pm-82-sub.html#376
POE::Kernel::__ANON__[/usr/local/share/perl/5.18.2/POE/Kernel.pm:92]	href=POE-Kernel-pm-54-sub.html#92
POE::Kernel::ID	href=POE-Kernel-pm-54-sub.html#2482
IO::Pipely::BEGIN@27	href=IO-Pipely-pm-35-sub.html#27
Tie::Hash::BEGIN@5	href=Tie-Hash-pm-29-sub.html#5
Exporter::import	href=Exporter-pm-13-sub.html#28
IO::Pipely::_try_oneway_type	href=IO-Pipely-pm-35-sub.html#236
POE::Component::SSLify::BEGIN@9	href=POE-Component-SSLify-ClientHandle-pm-112-sub.html#9
IO::Pipely::BEGIN@6	href=IO-Pipely-pm-35-sub.html#6
overload::BEGIN@144	href=overload-pm-122-sub.html#144
POE::Kernel::new	href=POE-Kernel-pm-54-sub.html#797
POE::Component::Server::TCP::BEGIN@10	href=POE-Component-Server-TCP-pm-105-sub.html#10
main::BEGIN@22	href=t-simple_parallel_superbig-t-1-sub.html#22
Test::Builder::BEGIN@18	href=Test-Builder-pm-7-sub.html#18
POE::Wheel::ReadWrite::new	href=POE-Wheel-ReadWrite-pm-94-sub.html#36
POE::Kernel::CORE:subst	href=POE-Resource-Signals-pm-85-sub.html#POE__Kernel__CORE_subst
POE::Kernel::CORE:sselect	href=POE-Resource-Signals-pm-85-sub.html#POE__Kernel__CORE_sselect
IO::Socket::UNIX::BEGIN@9	href=IO-Socket-UNIX-pm-47-sub.html#9
POE::Kernel::select	href=POE-Kernel-pm-54-sub.html#2178
POE::Wheel::SocketFactory::CORE:getsockname	href=POE-Wheel-SocketFactory-pm-101-sub.html#POE__Wheel__SocketFactory__CORE_getsockname
POE::Kernel::BEGIN@13.15	href=POE-Resource-Extrefs-pm-69-sub.html#13
POE::Resource::Signals::BEGIN@6	href=POE-Resource-Signals-pm-85-sub.html#6
File::Spec::Unix::BEGIN@4	href=File-Spec-Unix-pm-19-sub.html#4
POE::Kernel::_data_sig_explicitly_watched	href=POE-Resource-Signals-pm-85-sub.html#485
Carp::BEGIN@73	href=Carp-pm-21-sub.html#73
POE::Kernel::loop_pause_time_watcher	href=POE-Loop-Select-pm-59-sub.html#99
Task::Weaken::BEGIN@4	href=Task-Weaken-pm-119-sub.html#4
Test::Builder::is_passing	href=Test-Builder-pm-7-sub.html#2109
Exporter::Heavy::CORE:subst	href=Exporter-Heavy-pm-16-sub.html#Exporter__Heavy__CORE_subst
Exporter::Heavy::BEGIN@202	href=Exporter-Heavy-pm-16-sub.html#202
POE::Wheel::allocate_wheel_id	href=POE-Wheel-pm-98-sub.html#20
POE::Kernel::BEGIN@2.8	href=(eval 18)[POE-Resources-pm-22]-62-line.html#2
POE::Wheel::SocketFactory::BEGIN@1.41	href=(eval 45)[POE-pm-59]-103-line.html#1
Cwd::BEGIN@170	href=Cwd-pm-17-sub.html#170
POE::Driver::SysRW::get	href=POE-Driver-SysRW-pm-89-sub.html#76
POE::Component::Client::TCP::__ANON__[/usr/local/share/perl/5.18.2/POE/Component/Client/TCP.pm:298]	href=POE-Component-Client-TCP-pm-88-sub.html#274
Carp::BEGIN@131	href=Carp-pm-21-sub.html#131
Test::Builder::_try	href=Test-Builder-pm-7-sub.html#1518
Test::Builder::__ANON__[/usr/local/share/perl/5.18.2/Test/Builder.pm:66]	href=Test-Builder-pm-7-sub.html#66
POE::Wheel::ReadWrite::DESTROY	href=POE-Wheel-ReadWrite-pm-94-sub.html#386
PerlIO::get_layers	href=PerlIO-pm-12-sub.html#PerlIO__get_layers
POE::Component::SSLify::BEGIN@58	href=POE-Component-SSLify-pm-106-sub.html#58
POE::Loop::Select::BEGIN@11	href=POE-Loop-Select-pm-59-sub.html#11
Test::Builder::_share_keys	href=Test-Builder-pm-7-sub.html#479
File::Spec::Unix::BEGIN@220	href=File-Spec-Unix-pm-19-sub.html#220
IO::Prompt::Tiny::BEGIN@9	href=IO-Prompt-Tiny-pm-24-sub.html#9
Test::Builder::Module::import	href=Test-Builder-Module-pm-6-sub.html#76
POE::Wheel::SocketFactory::__ANON__[/usr/local/share/perl/5.18.2/POE/Wheel/SocketFactory.pm:203]	href=POE-Wheel-SocketFactory-pm-101-sub.html#164
POE::Component::SSLify::SSLify_GetSocket	href=POE-Component-SSLify-pm-106-sub.html#456
POE::Component::Client::TCP::new	href=POE-Component-Client-TCP-pm-88-sub.html#22
POE::Session::BEGIN@144	href=POE-Session-pm-87-sub.html#144
IO::Prompt::Tiny::BEGIN@10	href=IO-Prompt-Tiny-pm-24-sub.html#10
main::__ANON__[t/simple_parallel_superbig.t:138]	href=t-simple_parallel_superbig-t-1-sub.html#125
POE::Kernel::_data_handle_add	href=POE-Resource-FileHandles-pm-72-sub.html#264
POE::Kernel::_test_if_kernel_is_idle	href=POE-Kernel-pm-54-sub.html#609
POE::Kernel::BEGIN@2.17	href=(eval 24)[POE-Resources-pm-22]-71-line.html#2
Carp::BEGIN@568	href=Carp-pm-21-sub.html#568
POE::Kernel::BEGIN@2.10	href=(eval 19)[POE-Resources-pm-22]-64-line.html#2
POE::Kernel::BEGIN@357	href=POE-Kernel-pm-54-sub.html#357
Net::SSLeay::CTX_free	href=Net-SSLeay-pm-108-sub.html#Net__SSLeay__CTX_free
POE::Kernel::_data_ses_free	href=POE-Resource-Sessions-pm-82-sub.html#152
POE::Kernel::_resolve_session	href=POE-Kernel-pm-54-sub.html#583
IO::File::BEGIN@9	href=IO-File-pm-74-sub.html#9
POE::Wheel::ReadWrite::BEGIN@1	href=(eval 39)[POE-pm-47]-95-line.html#1
main::__ANON__[t/simple_parallel_superbig.t:43]	href=t-simple_parallel_superbig-t-1-sub.html#40
POE::Resource::Sessions::BEGIN@5	href=POE-Resource-Sessions-pm-82-sub.html#5
main::BEGIN@2.5	href=IO-Prompt-Tiny-pm-24-sub.html#2
Task::Weaken::BEGIN@6	href=Task-Weaken-pm-119-sub.html#6
POE::Kernel::loop_do_timeslice	href=POE-Loop-Select-pm-59-sub.html#145
Test::Builder::Module::_strip_imports	href=Test-Builder-Module-pm-6-sub.html#96
File::Spec::Unix::canonpath	href=File-Spec-Unix-pm-19-sub.html#File__Spec__Unix__canonpath
POE::Component::Client::TCP::_get_filter	href=POE-Component-Client-TCP-pm-88-sub.html#313
POE::Kernel::BEGIN@2.11	href=(eval 20)[POE-Resources-pm-22]-65-line.html#2
POE::Component::Server::TCP::__ANON__[/usr/local/share/perl/5.18.2/POE/Component/Server/TCP.pm:540]	href=POE-Component-Server-TCP-pm-105-sub.html#536
Net::SSLeay::CTX_use_certificate_chain_file	href=Net-SSLeay-pm-108-sub.html#Net__SSLeay__CTX_use_certificate_chain_file
constant::CORE:qr	href=constant-pm-20-sub.html#constant__CORE_qr
POE::Component::Server::TCP::BEGIN@32	href=POE-Component-Server-TCP-pm-105-sub.html#32
POE::Kernel::BEGIN@2.25	href=(eval 27)[POE-Resources-pm-22]-78-line.html#2
Test::Builder::BEGIN@1667	href=Test-Builder-pm-7-sub.html#1667
IO::Socket::INET::BEGIN@14	href=IO-Socket-INET-pm-46-sub.html#14
warnings::unimport	href=warnings-pm-3-sub.html#271
Test::Builder::_my_exit	href=Test-Builder-pm-7-sub.html#2443
File::Spec::Unix::BEGIN@136	href=File-Spec-Unix-pm-19-sub.html#136
main::BEGIN@20	href=t-simple_parallel_superbig-t-1-sub.html#20
POE::Kernel::_data_handle_initialize	href=POE-Resource-FileHandles-pm-72-sub.html#118
POE::Kernel::_invoke_state	href=POE-Kernel-pm-54-sub.html#1406
POE::Wheel::SocketFactory::getsockname	href=POE-Wheel-SocketFactory-pm-101-sub.html#431
Socket::BEGIN@807	href=Socket-pm-43-sub.html#807
IO::File::BEGIN@8	href=IO-File-pm-74-sub.html#8
POE::Resources::BEGIN@3	href=POE-Resources-pm-57-sub.html#3
POE::Kernel::BEGIN@3	href=POE-Kernel-pm-54-sub.html#3
POE::Pipe::BEGIN@6	href=POE-Pipe-pm-34-sub.html#6
POE::Kernel::BEGIN@16.35	href=POE-Resource-Signals-pm-85-sub.html#16
POE::Kernel::BEGIN@14.33	href=POE-Resource-Signals-pm-85-sub.html#14
POE::Component::SSLify::ServerHandle::CORE:close	href=POE-Component-SSLify-ServerHandle-pm-114-sub.html#POE__Component__SSLify__ServerHandle__CORE_close
File::Spec::Unix::BEGIN@145	href=File-Spec-Unix-pm-19-sub.html#145
POE::Kernel::CORE:close	href=POE-Resource-Signals-pm-85-sub.html#POE__Kernel__CORE_close
POE::Wheel::SocketFactory::event	href=POE-Wheel-SocketFactory-pm-101-sub.html#369
POE::Component::SSLify::SSLify_Options	href=POE-Component-SSLify-pm-106-sub.html#329
IO::File::BEGIN@11	href=IO-File-pm-74-sub.html#11
Test::Builder::CORE:open	href=Test-Builder-pm-7-sub.html#Test__Builder__CORE_open
